"dptm","name","img_name","position","clinic","학력사항","경력사항","학회활동","수상이력","해외연수","","","","","","","","","","","","","","","",""
"마취통증의학과","김동혁","웹_김동혁 교수.jpg","교수","근골격계 통증, 암성 통증, 부위 마취, 노인 마취","2002년 3월~2009년 2월계명대학교 학사
2019년 3월~2021년 2월대구가톨릭대학교 석사
2021년 3월~2023년 2월대구가톨릭대학교 박사","2009년 3월~2011년 5월경주시 보건소 건천지소 지소장
2011년 5월~2012년 1월경주산내의원 부원장
2012년 3월~2017년 1월포항시티요양병원 진료과장
2017년 2월~2022년 2월대구가톨릭대학교병원 수련의
2022년 3월~2023년 2월분당서울대학교병원 임상강사","대한통증의학회 정회원
대한척추통증학회 정회원
대한마취통증학회 정회원
대한임상초음파학회 정회원
대한노인의학회 정회원
대한응용근신경학연구회 수료
대한통합기능의학연구회 수료
임상비타민학회 수료
한국자연의학연구회 수료","","","","","","","","","","","","","","","","","",""
"비뇨의학과","김덕윤","김덕윤 교수 비뇨의학과 (1).jpg","교수","요로생식기종양 (전립선비대증, 배뇨장애, 요실금), 로봇수술","경북대학교 의학과 졸업(의학사)
경북대학교 의과대학원 졸업(의학석사)
경북대학교 의과대학원 졸업(의학박사)","대구가톨릭대학교 의과대학 교수
대구가톨릭대학교 의과대학 비뇨기과학교실 주임교수
대구가톨릭대학교병원 비뇨기과 과장 역임
대구가톨릭대학교병원 암센터장 역임
대구가톨릭대학교병원 IRB 위원장 역임
대구가톨릭대학교 의과학연구소 간사 역임
근로복지공단 자문위원
대구시의사회 정책이사
식품의약품안전처 중앙약사심의위원회 중앙위원
대구경북암정복사업단 위원 역임
대한의사협회 의료산업정책개발위원회 위원 역임","미국비뇨기과학회(AUA) 회원
국제요실금학회(ICS) 회원
국제비뇨기과학회(SIU)회원
유럽비뇨기과학회(EAU)회원
2015 대한비뇨기과학회 대구ㆍ경북지회장
대한배뇨장애요실금학회 회장 역임
대한요로생식기감염학회 이사 역임","","","","","","","","","","","","","","","","","",""
"비뇨의학과","신홍석","신홍석 교수 비뇨의학과 (1).jpg","교수","남성과학, 전립선질환, 요로생식기감염","1992 03~ 1998 02영남대학교 의과대학	학사
2000 03 ~ 2002 02영남대학교 대학원 의학과	석사
2011 03 ~ 2013 02영남대학교 대학원 의학과	박사 수료","1998 03 ~ 1999 02영남대학교병원	인턴
1999 03~ 2003 02영남대학교병원 비뇨의학과	전공의
2003 04 ~ 2004 04의성군 단촌면 보건지소	공중보건의
2004 04 ~ 2006 04경상북도 지방공사 안동의료원	공중보건의
2006 05 ~ 2008 02영남대학교병원 비뇨의학과	전임의
2008 03 ~ 2010 02대구가톨릭대학교병원 비뇨의학과	전임강사
2010 03 ~ 2014 02대구가톨릭대학교병원 비뇨의학과	조교수
2014 03 ~ 2021 02 대구가톨릭대학교병원 비뇨의학과 부교수
2021 03 ~           	대구가톨릭대학교병원 비뇨의학과	교수","2016 04 ~대한남성과학회	상임이사(전 간행, 전 윤리, 현 국제교류)
2017 05 ~대한비뇨기초음파학회	상임이사(현 정무)
2013 01 ~ 2014 12대한비뇨기과학 대경지부학회	학술이사","2011 04대한남성과학회 젊은연구자상","2020 03 ~ 2021 02Wake Forest Institute for Regenerative Medicine	미국","","","","","","","","","","","","","","","",""
"비뇨의학과","정현진","정현진 교수 비뇨의학과 (1).jpg","교수","소아, 배뇨장애, 혈검, 요로결석, 로봇수술","연세대학교 의과대학 학사
연세대학교 대학원 의학과 석사
경북대학교 대학원 의학과 박사","2021. 1 ~ 현재대구가톨릭대학교의료원 고객경험담당차장
2019. 2 ~ 현재대구가톨릭대학교병원 비뇨의학과장
2019. 2 ~ 2020.12대구가톨릭대학교의료원 기획차장
세브란스병원 임상연구조교수
세브란스병원 임상강사","대한비뇨의학회 정회원
대한소아비뇨의학회 이사
대한요로생식기감염학회 이사/학회지 심사위원
대한소아배뇨장애야뇨증학회 이사
대한비뇨의학회 여성정책위원회 위원","2012. 11대한비뇨기과 학술대회 국외 임상부분 최우수 논문상
2016. 3대구가톨릭대학교 2015 강의평가 임상계열 우수
2016. 4대한소아비뇨기학회 우수논문상","","","","","","","","","","","","","","","","",""
"비뇨의학과","하윤수","하윤수 교수 비뇨의학과 (2).jpg","교수","로봇수술, 복강경 수술, 전립선암, 신장암, 방광암, 요로결석, 배뇨장애","2003 ~ 2009연세대학교 의과대학 학사","2019 ~ 현재대구가톨릭대학교병원 비뇨의학과 조교수
2017 ~ 2019연세의료원 강남세브란스병원 강사 및 임상연구조교수
2010 ~ 2014연세의료원 세브란스병원 전공의
2009 ~ 2010연세의료원 세브란스병원 인턴","2019 ~ 현재한남비뇨기학회 정회원
2019 ~ 현재대한전립선학회 정회원
2019 ~ 현재대한비뇨기종양학회 정회원
2010 ~ 현재대한비뇨의학회 정회원","2018Best Poster Award, European Association Urology, Copenhagen, Denmark
2018Best Poster Award, Societe Internationale d'Urologie, Seoul, Korea","","","","","","","","","","","","","","","","",""
"산부인과","고석봉","고석봉 교수 산부인과 (1).jpg","교수","부인암, 로봇수술, 부인과 내시경","영남대학교 의과대학 및 동대학원 졸업
의학박사","영남대학교의료원 인턴, 산부인과 전공의 수료
Rosewell Park Cancer Institute, NY 연수
대구가톨릭대학교 의과대학 산부인과 교수(주임교수)","대한산부인과학회 정회원
대한부인종양·콜포스코피학회 정회원
대한부인내시경학회 정회원","","","","","","","","","","","","","","","","","",""
"산부인과","현정환","현정환 교수 산부인과 (1).jpg","교수","부인종양, 단일공내시경수술, 로봇수술","영남의대 졸업","대구파티마병원 전공의 수료
부산좋은문화병원 과장
대구가톨릭대학교병원 임상교수","대한산부인과학회 정회원
대한부인 종양학회 정회원
대한산부인과 내시경 학회 정회원
대한산부인과 초음파 학회 정회원
대한 비뇨부인과 학회 정회원
AAGL( american society of gynecologic laparoscopy & minimal invasive surgery)membership
APAGE(Asia Pacific association of gynecologic endoscopy) membership","","","","","","","","","","","","","","","","","",""
"산부인과","최윤석","최윤석 교수 산부인과 (1).jpg","교수","부인암, 로봇수술, 부인과 내시경","1987년 3월 ~ 1993년 2월경북대학교 의과대학	학사
2001년 9월 ~ 2003년 8월동국대학교 대학원 의과학	석사
2004년 3월 ~ 2006년 2월계명대학교 대학원 의과학	박사","2001년 3월 ~ 2002년 2월대구파티마병원	부과장
2015년 2월 ~ 2021년 12월대구가톨릭대학교병원 암센터장
2017년 1월 ~ 2021년 4월대구가톨릭대학교 산부인과학교실	주임교수
2019년 1월 ~ 2021년 4월대구가톨릭대학병원 산부인과	과장
2002년 2월 ~ 현재대구가톨릭대학교병원 산부인과	교수","2001년 3월 ~ 현재대한산부인과학회	이사
2002년 3월 ~ 현재대한부인종양학회	정회원
2001년 3월 ~ 현재대한부인내시경학회	정회원
2002년 3월 ~ 현재국제부인암학회	정회원","2005년 1월대한부인내시경학회 최우수 논문상
2014년 03월 07일대구가톨릭대학교 총장상 Best researcher 의학계열 2위","2006년 8월 ~ 2007년 8월존스 홉킨스 대학병원	미국","","","","","","","","","","","","","","","",""
"산부인과","홍성연","홍성연 교수 산부인과 (1).jpg","교수","고위험 임신, 태아정밀진단, 유전상담","경북대학교 의과대학 졸업
의학석사","대구가톨릭대학교병원 인턴, 산부인과 전공의 수료
대구가톨릭대학교 의과대학 부교수","대한산부인과 학회 정회원
대한산부인과 초음파학회 정회원
대한주산기학회 정회원
대한태아의학회 정회원","","","","","","","","","","","","","","","","","",""
"산부인과","배진영","배진영 교수 산부인과 (1).jpg","교수","고위험 임신, 임산부약물상담, 조산, 임신성고혈압","경북대학교 의과대학 학사
경북대학교 의과대학원 석사
경북대학교 의과대학원 박사","경북대학교병원 산부인과 전공의
경북대학교병원 산부인과 임상강사
대구가톨릭대학교병원 산부인과 조교수","대한산부인과학회 정회원
대한산부인과 초음파학회 정회원
대한산부인과 초음파학회 교육수련위원회 간사
대한모체태아의학회 정회원
대한모체태아의학회 지회 간사
대구광역시 산부인과지회 학술이사","","","","","","","","","","","","","","","","","",""
"산부인과","유정민","산부인과 유정민 교수 (1).jpg","교수","부인종양, 복강경수술, 일반부인과","2010년 3월 ~ 2014년 2월경북대학교 의학전문대학원 의무석사
2019년 9월 ~ 2021년 8월대구가톨릭대학교 대학원 의학과 박사","2014년 3월 ~ 2015년 2월경북대학교병원 인턴
2016년 3월 ~ 2020년 2월대구가톨릭대학교병원 산부인과 전공의
2020년 3월 ~ 2022년 2월대구가톨릭대학교병원 산부인과 전임의
2022년 3월 ~ 현재대구가톨릭대학교병원 산부인과 조교수
2022년 3월 ~ 현재대한부인종양학회 부인암 분과 전문의","대한산부인과학회 정회원
대한부인종양학회 정회원
대한부인내시경학회 정회원","","","","","","","","","","","","","","","","","",""
"산부인과","정윤영","웹 정윤영.jpg","교수","월경이상, 복강경수술, 일반부인과","2010년 3월~2016년 2월대구가톨릭대학교 의과대학 학사
2018년 9월~2020년 8월대구가톨릭대학교 대학원 의학과 석사","2016년 3월~2017년 2월대구가톨릭대학교병원 인턴
2017년 3월~2021년 2월대구가톨릭대학교병원 전공의
2021년 3월~2023년 2월대구가톨릭대학교병원 전임의
2023년 3월~현재대구가톨릭대학교병원 조교수
2023년 3월~현재대한부인종양학회 부인암 분과 전문의","대한산부인과학회 정회원
대한부인종양학회 정회원
대한산부인과내시경학회 정회원","","","","","","","","","","","","","","","","","",""
"산부인과","이효진","이효진 전임의 산부인과.jpg","교수","고위험임신, 임산부약물상담, 임산부 당뇨 관리","2016년 2월경상국립대학교 의학과 의무석사","2016년 2월~2017년 2월경상국립대학교병원 인턴 수료
2017년 3월~2020년 2월대구가톨릭대학교병원 전공의 수료
2020년 3월~2022년 2월대구가톨릭대학교병원 전임의 수료
2022년 3월~현재대구가톨릭대학교병원 임상교수요원","대한산부인과학회 정회원
대한산부인과초음파학회 정회원
대한모체태아의학회 정회원","","","","","","","","","","","","","","","","","",""
"산부인과","강민재","강민재.jpg","전임의","일반부인과, 복강경수술","2009년 3월~2015년 2월대구가톨릭대학교 의과대학 학사
2018년 9월~현재대구가톨릭대학교 의과대학 재학중(석사과정)","2015년 3월~2016년 2월대구가톨릭대학교병원 인턴
2016년 3월~2020년 2월대구가톨릭대학교병원 전공의
2021년 4월~2023년 4월국군홍천병원 산부인과 과장","20202년 3월~ 현재대한산부인과학회 정회원","","","","","","","","","","","","","","","","","",""
"산부인과","이은지","이은지_2.jpg","전임의","일반 산과","2012년 3월~2018년 2월대구가톨릭대학교 의과대학 학사
2021년 3월~2023년 2월대구가톨릭대학교 석사","2018년 3월~2019년 2월대구가톨릭대학교병원 인턴
2019년 3월~2023년 2월대구가톨릭대학교병원 전공의","","","","","","","","","","","","","","","","","","",""
"산부인과","조은별","조은별_2.jpg","전임의","일반 산과","2012년 3월~2018년 2월대구가톨릭대학교 의과대학 학사","2018년 3월~2019년 2월대구가톨릭대학교병원 인턴
2019년 2월~2023년 2월대구가톨릭대학교병원 레지던트","","","","","","","","","","","","","","","","","","",""
"성형외과","한동길","한동길 교수 성형외과 (1).jpg","교수","선천성기형, 안검하수, 미용성형, 악안면외상","1981.3~1987.2경북대학교 의과대학	의학사","2017.3~현재대구가톨릭대학교병원 성형외과 	주임교수
2012.3~2017.8대구가톨릭대학교병원 성형외과	부교수
2010.1~2011.12제주한국병원 성형외과 	과장
2003.4~2009.12한스성형외과	원장
1998.3~2002.2대구가톨릭대학교병원 성형외과	조교수
1996.3~1998.2대구가톨릭대학교병원 성형외과	임상강사
2016.8~2016.8미스영양 고추아가씨 선발대회	심사위원
2006.5~2006.5미스코리아 대구.경북 	심사위원
2010.6~2011.12제주국제자유도시개발센터 의료사업처	자문위원
2008.1~2008.12남북한의료협력위원회	위원","2014.11~현재대한성형외과학회	평의원
2016.11~현재대한성형외과학회	편집 심사위원
2014.11~현재대한두개안면학회	편집 심사위원
2013.3~2015.2대한성형외과학회 대경지회	이사장
1995.3~현재대한성형외과학회	정회원
2005.3~현재대한미용성형외과학회	정회원
2012.3~현재대한두개안면성형외과학회	정회원","2018-11-09우수 심사위원상	대한성형외과학회
2014-11-07감사장	대한성형외과학회
2012-03-30학술상	대한창상학회","","","","","","","","","","","","","","","","",""
"성형외과","이용직","이용직 교수 성형외과 (1).jpg","교수","수부, 화상, 욕창, 안면외상, 액취증, 미용","2006.03~2010.02경북대학교 대학원 의학과	박사
2003.09~2005.08경북대학교 대학원 의학과	석사
1993.03~1999.02경북대학교 의과대학	의학학사","2018.08~2019.08대구가톨릭대학교병원 성형외과	임상과장
2012.03~현재대구가톨릭대학교병원 성형외과	부교수
2008.09~2010.02대구가톨릭대학교병원 성형외과	임상강사
2007.03~2008.08강남병원 우상현수부외과및미세재건수술크리닉	임상강사
2003.05~2007.02경북대학교병원 성형외과	전공의
1999.03~2000.02경북대학교병원	인턴","2019.08~2020.09대한성형외과학회	수련병원조사위원
2014.12.~2016.11대한수부외과학회	심사이사
2012.12~2013.11대한수부외과학회	무임소이사","","2011.9-10&nbsp;Sterling Bunnell Traveling Fellowship in Hand Surgery
2016.8~2017.7Department of Plastic Surgery, University of California San Diego	USA","","","","","","","","","","","","","","","",""
"성형외과","심정수","심정수 교수 성형외과 (1).jpg","교수","유방 재건 및 유방 성형, 미세재건수술, 몸매성형, 기타 미용성형, 로봇수술","영남대학교 의과대학 학사
영남대학교 의과대학원 석사
영남대학교 의과대학원 박사","대구가톨릭대학교 의과대학 성형외과 부교수
독일 Sana Kliniken Dusseldorf Hospital 유방센터 연수
미국 Spectrum Health Blodgett 유방센터 연수
미국 UCI(University of california, irvine) 메디컬센터 성형외과 연수","대한성형외과학회 정회원
대한미용성형외과학회 정회원
대한수부외과학회 정회원
대한미세수술학회 정회원
대한두개악안면학회 정회원
대한두경부종양학회 정회원
세계미세재건수술학회(WSRM) 정회원","","","","","","","","","","","","","","","","","",""
